,Domain,Date
0,chargeleader.net,2013-01-01
1,cleanleader.net,2013-01-01
2,chargeneedle.net,2013-01-01
3,cleanneedle.net,2013-01-01
4,chargelength.net,2013-01-01
5,cleanlength.net,2013-01-01
6,chargeneither.net,2013-01-01
7,cleanneither.net,2013-01-01
8,chiefleader.net,2013-01-01
9,clearleader.net,2013-01-01
10,chiefneedle.net,2013-01-01
11,clearneedle.net,2013-01-01
12,chieflength.net,2013-01-01
13,clearlength.net,2013-01-01
14,chiefneither.net,2013-01-01
15,clearneither.net,2013-01-01
16,considerleader.net,2013-01-01
17,crowdleader.net,2013-01-01
18,considerneedle.net,2013-01-01
19,crowdneedle.net,2013-01-01
20,considerlength.net,2013-01-01
21,crowdlength.net,2013-01-01
22,considerneither.net,2013-01-01
23,crowdneither.net,2013-01-01
24,containleader.net,2013-01-01
25,daughterleader.net,2013-01-01
26,containneedle.net,2013-01-01
27,daughterneedle.net,2013-01-01
28,containlength.net,2013-01-01
29,daughterlength.net,2013-01-01
30,containneither.net,2013-01-01
31,daughterneither.net,2013-01-01
32,chooseleader.net,2013-01-01
33,collegeleader.net,2013-01-01
34,chooseneedle.net,2013-01-01
35,collegeneedle.net,2013-01-01
36,chooselength.net,2013-01-01
37,collegelength.net,2013-01-01
38,chooseneither.net,2013-01-01
39,collegeneither.net,2013-01-01
40,cigaretteleader.net,2013-01-01
41,companyleader.net,2013-01-01
42,cigaretteneedle.net,2013-01-01
43,companyneedle.net,2013-01-01
44,cigarettelength.net,2013-01-01
45,companylength.net,2013-01-01
46,cigaretteneither.net,2013-01-01
47,companyneither.net,2013-01-01
48,cornerleader.net,2013-01-01
49,delightleader.net,2013-01-01
50,cornerneedle.net,2013-01-01
51,delightneedle.net,2013-01-01
52,cornerlength.net,2013-01-01
53,delightlength.net,2013-01-01
54,cornerneither.net,2013-01-01
55,delightneither.net,2013-01-01
56,countryleader.net,2013-01-01
57,demandleader.net,2013-01-01
58,countryneedle.net,2013-01-01
59,demandneedle.net,2013-01-01
60,countrylength.net,2013-01-01
61,demandlength.net,2013-01-01
62,countryneither.net,2013-01-01
63,demandneither.net,2013-01-01
64,chargemanner.net,2013-01-01
65,cleanmanner.net,2013-01-01
66,chargenumber.net,2013-01-01
67,cleannumber.net,2013-01-01
68,chargemaster.net,2013-01-01
69,cleanmaster.net,2013-01-01
70,chargeoclock.net,2013-01-01
71,cleanoclock.net,2013-01-01
72,chiefmanner.net,2013-01-01
73,clearmanner.net,2013-01-01
74,chiefnumber.net,2013-01-01
75,clearnumber.net,2013-01-01
76,chiefmaster.net,2013-01-01
77,clearmaster.net,2013-01-01
78,chiefoclock.net,2013-01-01
79,clearoclock.net,2013-01-01
80,considermanner.net,2013-01-01
81,crowdmanner.net,2013-01-01
82,considernumber.net,2013-01-01
83,crowdnumber.net,2013-01-01
84,considermaster.net,2013-01-01
85,abovemillion.net,2013-01-02
86,alreadymillion.net,2013-01-02
87,abovepeople.net,2013-01-02
88,alreadypeople.net,2013-01-02
89,abovemister.net,2013-01-02
90,alreadymister.net,2013-01-02
91,aboveperhaps.net,2013-01-02
92,alreadyperhaps.net,2013-01-02
93,actionmillion.net,2013-01-02
94,althoughmillion.net,2013-01-02
95,actionpeople.net,2013-01-02
96,althoughpeople.net,2013-01-02
97,actionmister.net,2013-01-02
98,althoughmister.net,2013-01-02
99,actionperhaps.net,2013-01-02
100,althoughperhaps.net,2013-01-02
101,answermillion.net,2013-01-02
102,basketmillion.net,2013-01-02
103,answerpeople.net,2013-01-02
104,basketpeople.net,2013-01-02
105,answermister.net,2013-01-02
106,basketmister.net,2013-01-02
107,answerperhaps.net,2013-01-02
108,basketperhaps.net,2013-01-02
109,appearmillion.net,2013-01-02
110,battlemillion.net,2013-01-02
111,appearpeople.net,2013-01-02
112,battlepeople.net,2013-01-02
113,appearmister.net,2013-01-02
114,battlemister.net,2013-01-02
